First Name,Last Name,University,Categories,Headline,Keywords,Profile Link,
Andrew ,Feinberg,Johns Hopkins University,Etiology,Deciphering the Epigenetic Code of Life,"Epigenetics, Cancer, Autism, Aging, Environment, Diabetes, Mathematics",http://benefunder.org/causes/545/andrew-feinberg,
Anthony,Grace,University of Pittsburgh,Etiology,Getting at the Root of Psychiatric Illness,"schizophrenia, brain, depression, animal models, novel treatments, psychiatric disorders, dopamine, prevention",http://benefunder.org/causes/320/anthony-grace,
Charles,Sanders,Vanderbilt University,Etiology,Molecular Basis of Disease,"Drugs, Therapeutics, NMR, Structure, Structural Biology, Biophysics, Biochemistry, Protein Misfolding, Protein Folding, Membrane Proteins, Membranes, Charcot-Marie-Tooth disease, Neurodegenerative diseases, Neurodegeneration, CKD, Chronic kidney disease, Kidney fibrosis, Kidney disease, Neuropathy, LQTS, Long QT syndrome, Heart disease, Aging, Alzheimers disease, Healthcare, Cardiovascular",http://benefunder.org/causes/72/charles-sanders,
Stephanie,Seneff,Massachusetts Institute of Technology,Etiology,Living Amongst Toxicity,"Autism, heart disease, Alzheimer's, glyphosate, aluminum, sulfur, cholesterol, global warming, sustainable agriculture, drug side effects, statin drugs, vasculature, natural language processing, interactive dialogue systems, toxic, environment",benefunder.org/causes/408/stephanie-seneff,
Michael,Telch,The University of Texas at Austin,Etiology,Relieving Anxiety,"psychological treatments, post-traumatic stress disorder, anxiety disorders, panic attacks, phobias, risk factors",http://benefunder.org/causes/90/michael-telch,
Jimmie,Ye,"University Of California, San Francisco",Etiology,Where Disease Fits into the Nature vs. Nurture Argument,"Parkinson's, autoimmunity, genomics, genetics, environment, sequencing",http://benefunder.org/causes/543/jimmie-ye,
Tanzeem,Choudhury,Cornell University,Health IT,Wearable Technologies Track Mental Health,"mHealth, Ubiquitous Computing, Internet of Things, People-Aware Computing, Reality Mining, Sociometer, bipolar, mood control, emotions",http://benefunder.org/causes/393/tanzeem-choudhury,
Scott,Grafton,"University of California, Santa Barbara",Health IT,Mapping the Brain's Electrical Circuits,"Networks, brain Connections, Learning and plasticity, Developmental disorders, Connectomics, traumatic brain injury",http://benefunder.org/causes/255/scott-grafton,
Gillian,Hayes,"University of California, Irvine",Health IT,Creating Inclusive and Empowering Technologies,"HCI, Assistive Technology, Medical Informatics, Educational Technology, Social Computing, Social Media, CSCW, Autism, Hunger, ADHD, Action Research, anti bullying, social integration, autism",http://benefunder.org/causes/348/gillian-hayes,
Tzyy-Ping,Jung,"University of California, San Diego",Health IT,Translating Neurotechnology Advancements,"health IT, neurotechnology, startup, brain, pre-clinical, patients, data, EEG, sensors",http://benefunder.org/causes/260/tzyy-ping-jung,
Angie,Laird,Florida International University,Health IT,Neuroimaging: Decoding the Processes Implicated in Health and Disease,"Functional magnetic resonance imaging (fMRI), meta-analysis, neuroinformatics, data mining, discovery science, brain activity, STEM",http://benefunder.org/causes/456/angie-laird,
Scott,Makeig,"University of California, San Diego",Health IT,Advancing Human Electrical Brain Imaging,"cognitive neuroscience, cognition, neuroscience, human neuroscience, social neuroscience, EEG, ECoG, epilepsy, Parkinson's, glaucoma, schizophrenia, psychosis, Alzheimers, ADHD, Tourette's, stroke, traumatic brain injury, RBI, post-traumatic stress disorder, PTSD, music, effects of music, neurofeedback, biofeedback, brain training, source imaging, brain imaging, brain dynamics, MEG",http://benefunder.org/causes/350/scott-makeig,
Noah,Malmstadt,University of Southern California,Health IT,Providing Tools for Understanding Cell Membrane Function,"bipolar disorder, schizophrenia, anxiety, depression, post-traumatic stress disorder, addiction, aging, neurodegeneration, congestive heart failure",http://benefunder.org/causes/166/noah-malmstadt,
Yoichiro,Mori,University of Minnesota,Health IT,Mathematical Physiology: Solving the Hard Problems,"Electrophysiology, Cortical Spreading Depression, Migraine, Stroke, Seizures, Cardiac Arrhythmias, Mathematical and Computational Modeling, Mathematical Physiology",http://benefunder.org/causes/109/yoichiro-mori,yoichiromori@benefunder.org
Dan,Sievenpiper,"University of California, San Diego",Health IT,Magnetic Fields Healing Brains,"Magnetic field, depression, brain, TMS, neurological disorders, psychiatric disorders",http://benefunder.org/causes/65/dan-sievenpiper,
Steven,Wegmann,International Computer Science Institute,Health IT,How Math is Improving Speech Recognition Technologies,"speech, communication, math, software, diagnostics, language",http://benefunder.org/causes/154/steven-wegmann,
John Ayers & Mark Dredze,,Johns Hopkins University,Health IT,New Frontiers in Public Health,"Big Data, Public Health, Computer Science, Tobacco Control, Mental Health, Obesity, artificial intelligence, machine learning, data mining, natural language processing, flu, web data, cigarette, smoking, twitter, social media, depression",http://benefunder.org/causes/547/john-ayers-mark-dredze,
Mobile Technology for Youth Mental Health,,Rutgers University,Health IT,"Environmental, Biological, and Behavioral Markers of Youth Distress","Child, adolescent, teens, Anxiety, Depression, Mobile technology, Wearable sensors, Environmental Exposure, Biological markers of anxiety/depression",http://benefunder.org/causes/625/mobile-technology-youth-mental-health,"Brian Chu, brianchu@rci.rutgers.edu"
Julie,Fiez,University of Pittsburgh,Learning,The Neuroscience Behind Learning,"reading, language, mathematical ability, learning, skill, cognition, education, brain",http://benefunder.org/causes/464/julie-fiez,
Loren,Frank,"University Of California, San Francisco",Learning,Revealing How the Brain Learns and Remembers,"Learning, Memory, Decision-making, Hippocampus, Alzheimer’s, Brain disease, BRAIN Initiative",http://benefunder.org/causes/62/loren-frank,
David,Geary,University of Missouri-Columbia,Learning,First Grade Report Cards: an Indicator of Future Success?,"mathematics education, mathematics learning, learning disabilities, at risk children, academic achievement, learning disabilities, children’s thinking and learning, education, grade",benefunder.org/causes/377/david-geary,
Geoffrey,Ghose,University of Minnesota,Learning,Using the Visual System to Understand our Most Basic Cognitive Abilities,"neural coding, attention, learning, fMRI, brain stimulation, vision",http://benefunder.org/causes/178/geoffrey-ghose,
Keith,Holyoak,"University of California, Los Angeles",Learning,"Reasoned Creativity, or Creative Reasoning","Psychology, human thinking, creativity, education, neuroscience, artificial intelligence, vaccine",http://benefunder.org/causes/330/keith-holyoak,
Terry,Jernigan,"University of California, San Diego",Learning,Learning How to Improve Learning,"individuality, learning, neuroimaging, behavior, genes, genetics, brain, cognitive, development, education, technology, translation",http://benefunder.org/causes/346/terry-jernigan,
George,Langford,Syracuse University,Learning,The Cellular Basis of Learning and Memory,"actin cytoskeleton, axonal transport, myosin motors, candidiasis, Candida albicans, neurodegenerative, diseases, Alzheimers, learning and memory, cancer, apoptosis, minority, brain",http://benefunder.org/causes/366/george-langford,
Bence,Ölveczky,Harvard University,Learning,Unlocking the Secrets of Complex Motor Learning,"Therapeutics, motor skill learning, brain plasticity, neural circuit dynamics and behavior, functional recovery from stroke",http://benefunder.org/causes/458/bence-%C3%B6lveczky,
Katherine,Rawson,Kent State University,Learning,Learning How We Learn,"Student achievement, education, learning, memory, self-regulated learning, learning techniques, learning strategies, patient education",http://benefunder.org/causes/88/katherine-rawson,
Sandra,Waxman,Northwestern University,Learning,Windows into the Infant Mind,"infants, language, linguistics, cognition, culture, science education, diversity, international, developmental challenges, early development, globalization, nature, nurture, speech, thinking, cross-cultural",http://benefunder.org/causes/551/sandra-waxman,
Arthur C. Clarke Center,,"University of California, San Diego",Learning,Turning Dreams Into Reality,"creativity, innovation, industry, medicine, humanities, sciences, arts, humanities, psychology, behavioral science",http://benefunder.org/causes/111/arthur-c-clarke-center,
Isabelle,Guyon,New York University,Neural Circuitry,Engaging the Public in Data Science,"data science, big data, challenges in machine learning, scientific competitions, coopetitions",http://benefunder.org/causes/368/isabelle-guyon,
Gabriel,Silva,"University of California, San Diego",Neural Circuitry,Uncovering How the Brain Works,"Neuroscience, Neural engineering, Applied mathematics, Bioengineering, Neurophysiology, Neurology, Network theory, Information theory",http://benefunder.org/causes/316/gabriel-silva,
Yi,Zuo,"University of California, Santa Cruz",Neural Circuitry,New Fronts in Neuroscience,"Neuroscience, Learning and Memory, Synapse plasticity, Brain, Neurological disease, Autism, Learning disorder, Astrocytes, Microscopy",http://benefunder.org/causes/532/yi-zuo,
Bernardino,Ghetti,Indiana University School of Medicine,Neurodegeneration,From Bench to Bedside: Research gets at the Heart of Hereditary Dementias,"Hereditary dementia, neurodegeneration, proteinopathies, tau protein, frontotemporal dementia, Alzheimer disease, neurodegenerative",http://benefunder.org/causes/610/bernardino-ghetti,
Laura,Colgin,The University of Texas at Austin,Neuroscience,Exploring Brain Rhythms,"brain rhythms, memory, hippocampus, entorhinal cortex, gamma rhythms, theta rhythms",http://benefunder.org/causes/91/laura-colgin,
Elva,Diaz,"University of California, Davis",Neuroscience,Unlocking the Mysteries of the Brain,"neurodevelopment disorders, brain development, functional genomics, multidisciplinary, innovative, healthcare, proteomics, neurological, cognitive, treatment",http://benefunder.org/causes/75/elva-diaz,
Roberto,Fernandez Galan,Case Western Reserve University,Neuroscience,Decoding Brain Circuits,"Functional brain connectivity, electrophysiology, computational neuroscience, epilepsy, autism, multielectrode arrays (MEA), brain circuits",http://benefunder.org/causes/188/roberto-fernandez-galan,
Deborah M,Gordon,Stanford University,Neuroscience,Lessons from Ants,"biology, ecology, complex systems, emergence, evolution, collective behavior, social organization, biology, complex systems, emergence, biology, evolution, collective behavior",http://benefunder.org/causes/452/deborah-m-gordon,
Ralph,Greenspan,"University of California, San Diego",Neuroscience,Mapping the Mind,"brain, behavior, learn, think, brain functions",http://benefunder.org/causes/126/ralph-greenspan,
David,Heeger,New York University,Neuroscience,Computational Theory Sheds Light on Brain Functioning,"neuroscience, computational neuroscience, vision, visual neuroscience, cognitive neuroscience, autism, neuroimaging, MRI, fMRI, EEG, MEG, data science, image processing, computer vision, computer graphics, neuroengineering, computer science, psychology, perception, perceptual psychology",http://benefunder.org/causes/66/david-heeger,
David,Kliger,"University of California, Santa Cruz",Neuroscience,Shedding Light on Protein Function,"time-resolved spectroscopy, polarized light spectroscopy, protein kinetics, visual pigments, heme proteins, protein folding, optogenetics, cardiovascular",http://benefunder.org/causes/387/david-kliger,
Catherine,Lozupone,"University of Colorado, Denver",Neuroscience,The Human Microbiome: the New Frontier,"Therapeutics, microbiota, HIV, bioinformatics, diabetes, autism, obesity, asthma",http://benefunder.org/causes/272/catherine-lozupone,
David Wassarman & Barry Ganetzky,,University of Wisconsin-Madison,Neuroscience,New Model for Studying Traumatic Brain Injuries,"Therapeutics, Traumatic Brain Injury, Brain Disorders, Neurodegeneration, Neurogenetics, Drosophila melanogaster, Models of Human Disease, Neurological Disease, Motor impairment, Fruit fly, Genetics, traumatic brain injury, TBI",http://benefunder.org/causes/403/david-wassarman-barry-ganetzky,
The Center for Neural Engineering and Prostheses (CNEP),,"University of California, Berkeley & University of California, San Francisco ",Neuroscience,Harnessing the Power of the Human Brain,"brain, clinical research, nervous system, function, BMI technology, neuroscience, anxiety, PTSD, depression, psychiatry",http://benefunder.org/causes/150/center-neural-engineering-and-prostheses-cnep,
Mirjana,Maletic-Savatic,Baylor College of Medicine,Neuroscience,Longevity of the Mind,"brain, stem cell, mind, longevity, metabolism, multiple sclerosis, autism, depression",http://benefunder.org/causes/558/mirjana-maletic-savatic,
Damon,Clark,Yale University,Perception,Discovering How a Small Brain Works,neuroscience; neurobiology; neural circuits; neural computation; vision; motion perception; Drosophila; computational modeling; calcium imaging; microscopy; neurons,http://benefunder.org/causes/356/damon-clark,
Ruth,Rosenholtz,Massachusetts Institute of Technology,Perception,The Science of Sight,"human vision, computational models, attention, peripheral vision, multitasking, macular degeneration, dyslexia, design, user interfaces",http://benefunder.org/causes/301/ruth-rosenholtz,
Gordon,Shepherd,Yale University,Perception,Decoding Smell,"Smell, Olfactory system, Flavor, Microcircuits, Informatics, Databases, Computer models, Connectomics",http://benefunder.org/causes/453/gordon-shepherd,
Roger,Fillingim,University of Florida,Prevention,Chronic Pain: The Silent Epidemic,"chronic pain, acute pain, health, gender, race, ethnic group, age, genetics, treatment, cancer, AIDS, heart disease, stress",http://benefunder.org/causes/159/roger-fillingim,
Eliot,Brenowitz,University of Washington,Regenerative Medicine,The Secrets in the Songbird,"songbirds, plasticity, brain, neuroplasticity, alzheimers, neurodegenerative, aging, regenerative",http://benefunder.org/causes/406/eliot-brenowitz,
Bernd,Fritzsch,University of Iowa,Regenerative Medicine,Reversing Cell Death for Improved Hearing,"inner ear, neurosensory hearing loss, vestibular loss, hair cells, spiral ganglion neurons, auditory dysfunction",http://benefunder.org/causes/335/bernd-fritzsch,
Lawrence,Goldstein,"University of California, San Diego",Regenerative Medicine,Stem Cells for Neurological Diseases,"Therapeutics, stem cells, neurons, ALS, Alzheimers, molecular motors, nanotechnology, protein transport and trafficking, microtubules, lysosomal storage disease, Niemann Pick",http://benefunder.org/causes/245/lawrence-goldstein,
Medha,Pathak,"University of California, Irvine",Regenerative Medicine,Using Stem Cells to Repair the Damaged Brain,"Stem cells, Alzheimer’s disease, Stem cell transplant therapy, Neural stem cells, Neurogenerative diseases, Developing new treatments, Mechanobiology, Multidisciplinary, Innovative, Collaborative, Quantitative, Biophysical, Making neurons, Brain research, Microscopy, Imaging the inner workings of a cell, Brain development, Cell fate, Brain degeneration, Neurological diseases, Stroke, Neurobiology, Age-related diseases, Aging, UC Irvine, UCI, California, Parkinson’s disease, Alzheimer’s, Brain, Dementia, Cognitive decline, Orange County, Cell biology",http://benefunder.org/causes/227/medha-pathak,
Eva-Maria,Schoetz Collins,"University of California, San Diego",Regenerative Medicine,Learning To Heal Through Regenerative Organisms,toxicology; regeneration; stem cell research; neuroscience; planarians; biomechanics; development; quantitative biology; hydra; stem cell therapy; tissue engineering; neurological diseases; Alzheimer’s disease; ALS; Parkinson’s disease; neurotoxins,http://benefunder.org/causes/347/eva-maria-schoetz-collins,
Peter,Searson,Johns Hopkins University,Regenerative Medicine,Reverse engineering the blood-brain barrier,"Blood-brain barrier, tissue engineering, stem cell engineering, diseases of the brain, neurodegenerative disease",http://benefunder.org/causes/433/peter-searson,
Khalid,Shah,Harvard University (Medical School),Regenerative Medicine,Treating Brain Tumors,"Therapeutics, Stem cells, Brain tumors, Resection, Cancer, Targeted therapy, Oncolytic viruses, Bi-functional proteins",http://benefunder.org/causes/360/khalid-shah,
Francesco,Tombola,"University of California, Irvine",Regenerative Medicine,Understanding Ion Channel Activity,"Therapeutics, Ion channels, Pharmacology, Electrophysiology, Stroke, Breast Cancer, Colorectal Cancer, B-Cell Lymphoma, Stem Cell Therapy, Microglia, Oxidative Stress, Autism Spectrum Disorder",http://benefunder.org/causes/492/francesco-tombola,
Pamela,Den Besten,"University Of California, San Francisco",Regenerative Medicine,Healthy Teeth Under Attack,"dental caries, children, fluoride, teeth, brain, hippocampus, basic",http://benefunder.org/causes/561/pamela-denbesten,
Alma,Merians,Rutgers University,Rehabilitation,"Merging Physical Therapy, Neuroscience, and Biomedical Engineering for Hand Rehabilitation","Stroke, Upper Extremity, Rehabilitation, Virtual Reality",http://benefunder.org/causes/582/alma-s-merians,
Tracey,Shors,Rutgers University,Trauma,Learn to Recover from Sexual Trauma and Abuse,"Sexual violence and trauma, women’s health, stress, depression, anxiety, neurogenesis, mental training, aerobic exercise, meditation, brain health, sex differences, heart health, sexual abuse, hippocampus, prefrontal cortex, PTSD",http://benefunder.org/causes/614/tracey-j-shors-phd,
Carrolee,Barlow,Parkinson's Institute and Clinical Center,Treatment,Pioneering Parkinson's Disease Research Through Elite Patient Care and Novel Clinical Trials,"Therapeutic, Medicine, Studies, Care, Genetic, Parkinsons, Neurodegeneration",http://www.benefunder.com/parkinsons-institute-and-clinical-center-carrolee-barlow,
Chris,Batich,University of Florida,Treatment,"Alzheimer's disease, Neruodegernerative, Treatments, Iron, oxidative damage, chelator, IP-6, therapeutics",,http://benefunder.org/causes/99/chris-batich,
Marty,Burke,"University of Illinois, Urbana-Champaign",Treatment,A 3D Printer for Molecules,"molecular prosthetics, 3D printer for molecules, medicines, genetic diseases, organic synthesis, cystic fibrosis, asthma, anemia, cancer, thalassemia, atherosclerosis, neurodegenerative disorders, arthritis, diabetes, MIDA boronates, marketable, therapeutics, medicine",http://benefunder.org/causes/461/marty-burke,
Jeffrey,Conn,Vanderbilt University,Treatment,Discovery of Breakthrough Medicines for Serious Brain Disorders,"Therapeutics, Drug Discovery, Parkinson’s / Movement Disorders, Rett Syndrome and Autism Spectrum Disorders, Major Depression Disorder, Alzheimer's, Schizophrenia",http://benefunder.org/causes/358/jeffrey-conn,
Joseph,Gone,University of Michigan,Treatment,Integrating Indigenous Healing Practices into Clinical Mental Health Settings for American Indians,American Indians; culture; spirituality; community wellness; mental health services; healthcare interventions,http://www.benefunder.com/joseph-gone,
Kasturi,Haldar,University of Notre Dame,Treatment,Back to Basics: Combatting Rare and Neglected Diseases,"Malaria, cell biology, drug resistance, therapy, rare and neglected diseases, neurodegenerative diseases, Neimann Pick",http://benefunder.org/causes/397/kasturi-haldar,
Brian,Head,"University of California, San Diego",Treatment,Investigating Brain Injuries,"Therapeutics, regenerative medicine, brain injury, clinical trials, TBI, traumatic brain injury, neurodegeneration, age, alzheimer's, gene therapy",http://benefunder.org/causes/206/brian-head,
Arthur,Horwich,Yale University,Treatment,ALS: Changing the Outcome of a Debilitating and Fatal Disease,"Therapeutics, ALS, Lou Gehrig's Disease, motor neurons, protein aggregation, electrophysiology, motor system, paralysis",http://benefunder.org/causes/442/arthur-horwich,
Petr,Janata,"University of California, Davis",Treatment,The Melody of Memory,"Therapeutics, alzheimer's Disease, music",http://benefunder.org/causes/86/petr-janata,
Gary Heiman &,Jay Tischfield,Rutgers University,Treatment,"Dismantling the Myths, and Treating Tourette Disorder","Tourette, Tics, Genetics, Genomics; Obsessive-Compulsive Disorder; ADHD; Mental Illness",http://benefunder.org/causes/541/gary-heiman-jay-tischfield,
Dilip,Jeste,"University of California, San Diego",Treatment,Empowering Seniors to Age Successfully,"Successful (or healthy) aging, Brain, Neuroplasticity, Wisdom, Resilience",http://benefunder.org/causes/345/dilip-jeste,
Daniel,Klessig,Cornell University,Treatment,Plant-Based Knowledge for Treatment of Human Diseases,"Therapeutics, immunity, inflammation, human disease, Alzheimer's, Parkinson's, Huntington's, heart disease, atherosclerosis,  rheumatoid arthritis, Crohn's, sepsis, alternative medicine, traditional Chinese medicine, plant",http://benefunder.org/causes/44/daniel-klessig,
Stefan,Leutgeb,"University of California, San Diego",Treatment,Unlocking the Secrets of Complex Motor Learning,"Therapeutics, Navigation, Place cells, Grid cells, Alzheimer's disease, Theta oscillations, Memory",http://benefunder.org/causes/506/stefan-leutgeb,
Mark,Lew,University of Southern California,Treatment,Treating Movement Disorders,"movement disorder, medication, treatment, parkinson's, biomarkers",http://benefunder.org/causes/203/mark-lew,
Chris,Link,"University of Colorado, Boulder",Treatment,C. elegans Worms Help Find Treatments for Neurodegenerative Disorders,"Therapeutics, Alzheimer's Disease, Neurological, ALS, Healthcare, down syndrome",http://benefunder.org/causes/42/chris-link,
Zhandong,Liu,Baylor College of Medicine,Treatment,Computers in Drug Development,"mathematics, computer science, computational, data integration, neurodegenerative diseases, neurological, and autism",http://benefunder.org/causes/549/zhandong-liu,
Christopher A.,Lowry,"University of Colorado, Boulder",Treatment,Vaccinating for Anxiety and Depression,"Serotonin, anxiety, depression, brain, Hygiene Hypothesis, M. vaccae, Mycobacterium vaccae, post-traumatic stress disorder (PTSD), major depressive disorder (MDD), bipolar disorder, generalized anxiety disorder, obsessive compulsive disorder, panic disorder, phobia, health IT",http://benefunder.org/causes/180/christopher-lowry,
Randi,Martin,Rice University,Treatment,How Does the Brain Recover?,"recovery from stroke, semantic dementia, transcranial direct current stimulation, language disorders, structural neuroimaging, functional neuroimaging",http://benefunder.org/causes/258/randi-martin,
Kimberley,McAllister,"University of California, Davis",Treatment,When Neurons Connect: the Developing Brain,"Therapeutics, neural development, neural plasticity, autism, schizophrenia, depression, memory, neuroimmunology",http://benefunder.org/causes/384/kimberley-mcallister,
William,"Mobley MD, PhD","University of California, San Diego",Treatment,Exploring the Biology of Neural Disorders,"Down syndrome, Alzheimer, neurotrophic factor, neurodegeneration, axonal transport",http://benefunder.org/causes/391/william-mobley-md-phd,
Alysson,Muotri,"University of California, San Diego",Treatment,Modeling Brain Development and Diseases,"Therapeutics, regenerative medicine, social brain, development, autism, retroelements, mobile elements, junk DNA, evolution, Neanderthals",http://benefunder.org/causes/323/alysson-muotri,
Kevin,Murphy,"University of California, San Diego",Treatment,A Personal Mission becomes A Revolutionary Treatment,"rTMS, MRT, depression, anxiety, eating disorder, bulimia, anorexia, veterans, vets, war, PTSD, traumatic stress, ASD, spectrum, autism, treatment, irritable bowel syndrome",http://benefunder.org/causes/528/kevin-t-murphy,
Natalie,Russo,Syracuse University,Treatment,Learning from the Strengths of Autism Spectrum Disorder,"autism, sensory processing, multisensory integration, neurophysiology",http://benefunder.org/causes/491/natalie-russo,
James,Sulzer,The University of Texas at Austin,Treatment,Connecting the Brain and Body for Rehabilitation,"Therapeutics, neurofeedback, rehabilitation, spinal cord injury, stroke, robotics, motor learning, motor control, brain imaging, exoskeletons, brain injury, fMRI, walking, brain-machine interface, brain-computer interface",http://benefunder.org/causes/256/james-sulzer,
