First Name,Last Name,University,Categories,Headline,Keywords,Profile Link
Judith,Hibbard,University of Oregon,Healthcare,Revolutionizing Healthcare,"Patient empowerment, patient engagement, quality of health care, health care reform, consumer engagement, healthcare",http://benefunder.org/causes/63/judith-hibbard
Richard,Garfein,"Univeristy of California, San Diego",Healthcare,Eliminating Disease Worldwide,"Tuberculosis, Public Health, Treatment and Diagnosis of Infectious Diseases, Disease Prevention, Social Entrepreneurship, Mobile Health",http://benefunder.org/causes/192/richard-garfein
Sten,Vermund,Vanderbilt University,Healthcare,Sustainable Solutions for Quality Care in Low Income Countries,"cervical cancer, HIV, AIDS, tuberculosis, women's health, child health, health systems, quality improvement, drug abuse, sexual health, men who have sex with men, homosexuality, development countries, low income countries, health disparities, poverty, Africa, Asia, Latin America. global health, epidemiology, implementation science, medical anthropology, traditional medicine, traditional healers, patient-care center, patient-centered, health literacy",http://benefunder.org/causes/468/sten-vermund
Stephan,Schwander,Rutgers University,Healthcare,When the Air we Breathe Causes Disease,"tuberculosis, global health, air pollution, immune system, air quality, low income countries, poverty",http://benefunder.org/causes/613/stephan-schwander
Cindy,Sickora,Rutgers University,Healthcare,Healthcare at the Microsystem Level,Microsystem healthcare; empowerment; inter professional;health disparities; social determinants,http://benefunder.org/causes/603/cindy-sickora
Claire,Adida,"University of California, San Diego",Inclusion,Understanding Ethnicity and Religious Identity Across-Cultures,"identity, conflict, immigration, development, integration, violence, technology, remittances, religion, ethnicity, Africa",http://benefunder.org/causes/242/claire-adida
Jacqueline,Stevens,Northwestern University,Inclusion,Protecting the Rights of US Citizens and Immigrants,"Humanites, Political Science, Policy, US immigrants, human rights",http://benefunder.org/causes/226/jacqueline-stevens
Stuart,Chapin,University of Alaska Fairbanks,Inclusion,Empowering Adaptation to Global Change,"Adaptation, Alaska, Alaska Natives, Arctic, climate change, community development, conservation, energy efficiency, food security, global change, health, renewable energy, self-reliance, tribes, wildlife management",http://benefunder.org/causes/95/stuart-chapin
Susan,Ossman,"University of California, Riverside",Inclusion,Painting a True Picture of Globalization,"global, Cutting edge, international, creative, rigorous, important, ground-breaking, collaborative, interdisciplinary, exciting, insightful, subtle, poetic, international",http://benefunder.org/causes/334/susan-ossman
David,Springer,The University of Texas at Austin,Leadership,Turning Leaders into Changemakers,System Reform; Juvenile Delinquency and Juvenile Justice; Leadership in Nonprofits and Communities; ; Community-Based Research and Interventions; Social Change ,http://benefunder.org/causes/537/david-springer
John ,Skrentny,"University of California, San Diego",Leadership,The Science of Science and Innovation Policy,"science, immigration, jobs, policy, workforce, training, competitiveness, growth",http://benefunder.org/causes/317/john-skrentny
Idea Student Center,,"University of California, San Diego",Leadership,Fostering Diverse Leaders in Engineering,"leaders, students, internship, global",http://benefunder.org/causes/198/idea-student-center
Policy Design and Evaluation Lab,,"University of California, San Diego",Poverty,High-End Technology in the Developing World,"Development, anti-poverty, technology, rigorous, financial services",http://benefunder.org/causes/569/policy-design-and-evaluation-lab
Jennifer,Burney,"University of California, San Diego",Poverty,Triple-Win Solutions Combat Hunger and Climate Change,"climate change, food security, nutrition, development, adaptation, mitigation, emissions inventories, air pollution, short-lived climate pollutants, particulate matter, black carbon, irrigation, smallholder farmers",http://benefunder.org/causes/564/jennifer-burney
Benjamin,Hsiao,Stony Brook University,Resource Management,Providing Safe and Affordable Water for the Global Community,"Water purification, nanofibers, sustainability, high-flux, low-energy, membranes",http://benefunder.org/causes/303/benjamin-hsiao
Dean,Pearson,USDA Forest Service,Resource Management,Alien Invaders in Our Backyards,"invasion ecology, invasive species, exotic species, foreign species, community ecology, resource management, plant ecology, conservation ecology, biography",http://benefunder.org/causes/395/dean-pearson
Elsa,Cleland,"University of California, San Diego",Resource Management,Species Matter: Predicting Ecosystem Responses to Climate Change,"climate change, invasive species, California, plants, ecology, drought",http://benefunder.org/causes/510/elsa-cleland
Jason,Fridley,Syracuse University,Resource Management,How Plants Shape Ecosystems,"Plant community and ecosystem ecology, global change biology, biological invasions, plant strategy theory, forest ecology, exotic species, foreign and invasive species",benefunder.org/causes/474/jason-fridley
Patricia,Glibert,University of Maryland College Park Campus,Resource Management,Toxic Red Tides,"nitrogen, phosphorus, eutrophication, algal blooms, water quality, San Francisco Bay Delta, Florida Bay, Chesapeake Bay, coastal China",http://benefunder.org/causes/308/patricia-glibert
Roger,Bales,"University of California, Merced",Resource Management,Reviving Water Flow,"hydrology, climate, water resources, runoff, mountains, water, geology, ecology, california, drought, water management",http://benefunder.org/causes/359/roger-bales
Farhana,Sultana,Syracuse University,Resource Management,Democratizing Water Access,"Water, climate change, sustainability, poverty, equity, justice, international development, planning, policy, democracy, globalization, survival, progress, human rights, public health, social wellbeing, empowerment, resilience.",http://benefunder.org/causes/579/farhana-sultana
Thomas,Barfield,Boston University,Strategy,Building a Contemporary Legacy,"history and anthropology, Afghanistan, nomads, systems of law, indigenous architecture, empires",http://benefunder.org/causes/503/thomas-barfield
Eswaran,Subrahmanian,Carnegie Mellon University,Technology,Design Strategies for Social Change,"simulation, serious games, India, enabling participatory methods, international internships, cross-national collaboration, interdisciplinary, design, design theory ",http://benefunder.org/causes/457/eswaran-subrahmanian
Kartik,Ariyur,Purdue University,Technology,"Direct Sensing Reduces Uncertainty, Raises Performance","adaptation, uncertainty, autonomy, big data, embedded systems, estimation, control, sensor fusion, nonlinear systems, health monitoring",http://benefunder.org/causes/216/kartik-ariyur
Robert,Pless,Washington University,Technology,Using the World's Webcams to Capture Time and Space in New Ways,"photos, cell phone, mobile app, image, google earth, photography, visual computing",http://benefunder.org/causes/142/robert-pless
Ziad,Sifri ,Rutgers University,Healthcare,The Future of Global Surgery,"International Humanitarian Surgical Care, ISHI, Giving back, Capacity Building, Helping those that need it the most, Humanitarian work, Humanitarian work or Surgical Care to Under Privileged Communities",http://benefunder.org/ziad-c-sifri
