First Name,Last Name,University,Categories,Headline,Keywords,Profile Link
Eric,D'Asaro,University of Washington,Devices,Robotics Change Oceanographic Exploration,"Ocean,  Robots, Hurricanes, storms, arctic, ice, climate, India, Ocean,  Monsoon, Storms, ",http://benefunder.org/causes/381/eric-dasaro
Ryan,Kastner,"University of California, San Diego",Devices,Seeing the Deepest Corners of the Earth,"3D map, shipwreck, Mayan, culture, technology, culture, environment, education",http://benefunder.org/causes/204/ryan-kastner
Joseph,Wang,"University of California, San Diego",Devices,Devices at the Nanoscale,"Energy Efficiency Technologies, wearable sensors",http://benefunder.org/causes/388/joseph-wang
Heather,Coleman,Syracuse University,Ecology,Molecular Organization on Surfaces,"Renewable Energy Technologies, biofuels",http://benefunder.org/causes/493/heather-coleman
Jody,Deming,University of Washington,Ecology,Microbial Life in the Cold,"extremophiles, limits of life, Arctic sea ice, deep-sea bacteria, Astrobiology, extreme conditions, subzero, remediation",http://benefunder.org/causes/548/jody-deming
Peter,Franks,"University of California, San Diego",Ecology,Interdisciplinary Oceanography,"plankton, ocean physics, turbulence, fronts, eddies, red tides, ecosystems, modeling, instrumentation, physical-biological interactions",http://benefunder.org/causes/263/peter-franks
George,Luther,University of Delaware,Ecology,Assessing Ecosystem Health through Chemistry,"chemistry, natural waters, reaction kinetics, sediments, (micro)biology, ecosystem, electrochemical sensor, nanoparticles",http://benefunder.org/causes/432/george-luther
Michael,Aziz,Harvard University,Energy,Attacking the Energy-Environment Problem with Basic Research and Novel Technologies,"Energy Technology, Environmental Preservation, Technology, Batteries, Renewable Energy",http://benefunder.org/causes/298/michael-aziz
Edward,Brook,Oregon State University,Energy,Extracting Clues from Glacial Ice,"Energy, oceanic",http://benefunder.org/causes/398/edward-brook
Bruce,Cornuelle,"University of California, San Diego",Forecasting,Making the Ocean a Quantitative Science,"data assimilation, modeling, data analysis, ocean prediction, state estimation",http://benefunder.org/causes/344/bruce-cornuelle
Christiane,Jablonowski,University of Michigan,Forecasting,Improving Weather and Climate Change Predictions,"Future-generation climate and weather models, multi-scale, atmospheric fluid dynamics, tropical cyclones, atmospheric waves, high-resolution, variable-resolution, Adaptive Mesh Refinement (AMR), regional climate modeling, Dynamical Core Model Intercomparison Project (DCMIP), high performance computing (HPC), parallel computing, numerical methods, computational science, computer science",http://benefunder.org/causes/480/christiane-jablonowski
Sam,Stechmann,University of Wisconsin-Madison,Forecasting,Predicting Weather a Season in Advance,"Weather prediction, climate prediction, clouds, rainfall, atmospheric waves, applied mathematics, computational mathematics, stochastic models",http://benefunder.org/causes/361/sam-stechmann
Peter U. ,Clark,Oregon State University,How Ice Sheets Influence Global Climate Change and Sea Level Rise,,http://benefunder.org/peter-u-clark,
Forest,Rohwer,San Diego State University,Conservation,Understanding Viruses to Improve Ecosystem and Human Health ,"phage, coral, virus, immunology, cystic fibrosis",http://benefunder.org/forest-rohwer
