"Auditory, Hearing, Sensing Research","Painless, Wearable Sensors"
"Auditory, Hearing, Sensing Research",Pioneering Computational Music and Sound Analysis
"Auditory, Hearing, Sensing Research",Reversing Cell Death for Improved Hearing
Autism Research,Autistic Communication
Autism Research,Creating Neural Stem Cells to Overcome Autism
Autism Research,Curing Autism
Autism Research,Learning from the Strengths of Autism Spectrum Disorder
Autism Research,Unraveling the Genetics of Autism
Autoimmune Research,Diagnosis and Treatment Solutions for Lupus and Rheumatoid Arthritis
Autoimmune Research,From the Beginning to the End: A Life Dedicated to Ending the Age of HIV
Autoimmune Research,Heart Disease in Lupus Patients
Autoimmune Research,Targeting the Onset of Autoimmune Diseases
Autoimmune Research,Triggering the Immune System with Oncolytic Viruses
Autoimmune Research,Understanding The Hidden Powers of T Cells
Autoimmune Research,Understanding Viruses to Improve Ecosystem and Human Health
Autoimmune Research,Using RNA Biology to Understand Autoimmune Diseases and Combat Retroviruses
Autoimmune Research,White Blood Cell Diseases: Treated with a Common Oral Protein?
Autoimmune Research,Zebrafish offer a Toolbox for Curing Blood Disorders
"Alcoholism, Addiction, Substance Abuse Research",Breaking the Cycle of Addiction
"Alcoholism, Addiction, Substance Abuse Research",Breaking the Cycle of Drug Abuse and Binge Eating
"Alcoholism, Addiction, Substance Abuse Research",Preventing Substance Use Dependence Before Treatment is Necessary
"Alcoholism, Addiction, Substance Abuse Research",What Do Your Genes Say About Addiction?
Breast Cancer Research,Combating Breast Cancer
Breast Cancer Research,Genomic Data Leads to Better Understanding of the Genomic Progression of Breast Cancer
Breast Cancer Research,Individualized Therapies for Breast Cancer
"Cardiovascular, Heart Disease Research",Developing an Atherosclerosis Vaccine
"Cardiovascular, Heart Disease Research",Diseases that Involve Lipid Metabolism
"Cardiovascular, Heart Disease Research","Dr. Budoff's ""Mammogram for the Heart"""
"Cardiovascular, Heart Disease Research",Healthier Lives Post Heart Surgery
"Cardiovascular, Heart Disease Research",Heart Disease in Lupus Patients
"Cardiovascular, Heart Disease Research",Preventing Cardiovascular Disease
"Cardiovascular, Heart Disease Research",Tackling Cardiovascular Disease
"Cardiovascular, Heart Disease Research",Tackling Vascular Inflammation in Diabetes
"Cardiovascular, Heart Disease Research",Translational Nanomedicine for Heart Disease
"Cardiovascular, Heart Disease Research",Virtual Heart Surgery
Cancer Research,Combating Breast Cancer
Cancer Research,Defects in the Regulation of Genome Duplication can Lead to Cancer
Cancer Research,Developing Anticancer Drugs
Cancer Research,Discovering Novel Ways to Treat Impaired Cognitive Function in Cancer Survivors
Cancer Research,DNA-Customized Cancer Treatment
Cancer Research,Early Detection of Ovarian Cancer
Cancer Research,Fighting Cancer with New Compounds
Cancer Research,Finding Cancer in Blood
Cancer Research,Genomic Data Leads to Better Understanding of the Genomic Progression of Breast Cancer
Cancer Research,Individualized Therapies for Breast Cancer
Cancer Research,Unrepaired Broken Chromosomes Lead to Human Diseases such as Cancer
Cancer Research,When Viruses Cause Cancer
"Dentistry, Oral Hygiene Research",Healthy Teeth Under Attack
Diabetes Research,Conquering Diabetic Neuropathy
Diabetes Research,Tackling Vascular Inflammation in Diabetes
Diabetes Research,Targeting Diabetes Through Mitochondria
HIV AIDS Research,From the Beginning to the End: A Life Dedicated to Ending the Age of HIV
HIV AIDS Research,Sustainable Solutions for Quality Care in Low Income Countries
HIV AIDS Research,Using RNA Biology to Understand Autoimmune Diseases and Combat Retroviruses
"Kidneys, Urology Research",Patient-Centered Outcomes Research of Chronic Kidney Disease
Malaria Research,Novel Therapeutics for Malaria
"Mental Health, Depression Research",Cutting-Edge Tools to Combat Depression
"Mental Health, Depression Research",From Bench to Bedside: Research gets at the Heart of Hereditary Dementias
"Mental Health, Depression Research",Getting at the Root of Psychiatric Illness
"Mental Health, Depression Research",Increasing Education and Employment Accessibility for Persons with Serious Mental Illnesses
"Mental Health, Depression Research",Learn to Recover from Sexual Trauma and Abuse
"Mental Health, Depression Research",Measuring Emotion to Improve Lives
"Mental Health, Depression Research",Psychedelic Compound with Therapeutic Potential for Psychiatric Illnesses
"Mental Health, Depression Research",Relieving Anxiety
"Mental Health, Depression Research",Translational Research Helps Understand and Treat Mental Health Disorders
"Mental Health, Depression Research",Vaccinating for Anxiety and Depression
"Mental Health, Depression Research",Wearable Technologies Track Mental Health
Multiple Sclerosis Research,Vehicles of Drug Delivery and Biomarkers in Multiple Sclerosis
Multiple Sclerosis Research,Manipulating Movement
Multiple Sclerosis Research,Treating Movement Disorders
Muscular Dystrophy Research,Finding Treatments for Muscular Dystrophy
Muscular Dystrophy Research,Manipulating Movement
Muscular Dystrophy Research,Treating Movement Disorders
"Muscular, Skeletal, Orthopedics Research",Meeting the Demands of Bone Healing
"Muscular, Skeletal, Orthopedics Research","Merging Physical Therapy, Neuroscience, and Biomedical Engineering for Hand Rehabilitation"
"Muscular, Skeletal, Orthopedics Research",The Skeleton: A Foundation for Wellbeing
"Muscular, Skeletal, Orthopedics Research",Treating Movement Disorders
"Optical, Vision Research",More than meets the eye: Cameras for Capturing Patterns
"Optical, Vision Research",The Science of Sight
"Optical, Vision Research",Using the Visual System to Understand our Most Basic Cognitive Abilities
Ovarian Cancer Research,Early Detection of Ovarian Cancer
Pain Management Research,Chronic Pain: The Silent Epidemic
Pain Management Research,Targeting Chronic Pain with Potentially Limited Risk of Addiction
Pancreas Research,Investigating Pancreatic Beta Cells
Parkinson's Disease Research,Biomarkers for Alzheimer's and Parkinson's Diseases
Parkinson's Disease Research,C. elegans Worms Help Find Treatments for Neurodegenerative Disorders
Parkinson's Disease Research,Effective Treatment Solutions for Parkinson Disease
Parkinson's Disease Research,Modeling Parkinson's Disease in a Petri Dish
Parkinson's Disease Research,Pioneering Parkinson's Disease Research Through Elite Patient Care and Novel Clinical Trials
Parkinson's Disease Research,Reviving Speech for People with Parkinson's Disease and Aging Adults with Treatments at Home
Parkinson's Disease Research,Using Novel Diagnostic Techniques to Transform Parkinson's Disease Research
Parkinson's Disease Research,Manipulating Movement
Parkinson's Disease Research,Treating Movement Disorders
Parkinson's Disease Research,Manipulating Movement
Parkinson's Disease Research,Treating Movement Disorders
"Pregnancy, Reproduction Research",Identifying the Causes of Birth Defects Using Innovative Holistic Approaches
"Pregnancy, Reproduction Research",Poverty and Pregnancy: Improving the Lives of Women and Children
"Pregnancy, Reproduction Research",The Guttmacher Institute: The Scientific Backbone of the Reproductive Health Community
"Pregnancy, Reproduction Research",The Placental Barrier
"Pregnancy, Reproduction Research",Understanding the Placental Clock
"Pulmonary, Respiratory Research",Using Novel Techniques to Explore Cilia
Tourette's Syndrome Research,"Dismantling the Myths, and Treating Tourette Disorder"
Pediatric Research,Brain Malformations in Children: Their Mechanisms and Treatments
Pediatric Research,"Environmental, Biological, and Behavioral Markers of Youth Distress"
Pediatric Research,First Grade Report Cards: an Indicator of Future Success?
Pediatric Research,Making Choices as an Adolescent: How to Minimize Risk Taking
Pediatric Research,Windows into the Infant Mind
Pediatric Research,The Ongoing Marshmallow Test
Pediatric Research,Understanding How to Combat Alcohol Misuse among Young Adults via Interventions
"Microbiome, Digestive Track Research",The Gut Microbiota: Our Microbial Allies
"Microbiome, Digestive Track Research",The Human Microbiome: the New Frontier
"Microbiome, Digestive Track Research",Finding the Cause of Congenital Diarrhea
"Wellness, Aging Research",Obesity's Molecular and Cellular Underpinnings
"Wellness, Aging Research",Palliative Care Extends Beyond Borders
"Wellness, Aging Research",Preventing Chronic Diseases
"Wellness, Aging Research",Proactive Healthcare From Home
"Wellness, Aging Research",Revolutionizing the Way We Fight Disease
"Wellness, Aging Research",The Next Step in Minimally Invasive Surgery
"Wellness, Aging Research",The Power of Will
"Wellness, Aging Research",Theory and Experiments on Infectious Disease: How One Couple is Finding Creative Solutions
"Wellness, Aging Research",Tissue Maintenance: the Basics of Disease
"Wellness, Aging Research",Unrepaired Broken Chromosomes Lead to Human Diseases such as Cancer
"Wellness, Aging Research",Using Diet to Preserve Health and Wellness in the Aging Population
"Wellness, Aging Research",Using Narrative Medicine To Transform Healthcare
"Wellness, Aging Research",Using Novel Methods to Develop Effective Vaccines
"Wellness, Aging Research",When Obesity Is in Our Genes
"Wellness, Aging Research",When Stress Causes Disease
"Wellness, Aging Research",When the Air we Breathe Causes Disease
"Wellness, Aging Research",Where Disease Fits into the Nature vs. Nurture Argument
"Wellness, Aging Research",Empowering Seniors to Age Successfully
"Wellness, Aging Research",Wearable Healthcare
"Wellness, Aging Research",Healthcare at the Microsystem Level
"Wellness, Aging Research",Manipulating Movement
"Wellness, Aging Research",Motivated To Move
