First Name,Last Name,University,Categories,Headline,Keywords,Profile Link
Howard,Spero,"University of California, Davis",Preventative,The Ocean Floor Reveals our Climate History,"paleoceanography, paleoclimatology, foraminifera, geochemistry, paleobiology, biogeochemistry",http://benefunder.org/causes/554/howard-spero
Ruth,Welti,Kansas State University,Preventative,How Plants Sense Environmental Stress,"lipids, mass spectrometry, lipidomics, plants, crops, stress, heat, cold, pathogens, chemistry, biochemistry, plant biology, agronomy, plant pathology, plant nutrient deficiencies",http://benefunder.org/causes/325/ruth-welti
Roger,Bales,"University of California, Merced",Resource Management,Reviving Water Flow,"hydrology, climate, water resources, runoff, mountains, water, geology, ecology, california, drought, water management",http://benefunder.org/causes/359/roger-bales
Ken,Buesseler,Woods Hole Oceanographic Institution,Resource Management,Monitoring our Ocean Backyard,"nuclear weapons testing, strontium, cesium, plutonium, thorium, Japan, marine snow, biological pump, radioisotopes, radionuclides, climate change, Chernobyl, ocean carbon cycle, Fukushima, radioactivity, plumes, contaminant",http://benefunder.org/causes/73/ken-buesseler
Blair,Hedges,Temple Universiy of the Commonwealth,Resource Management,"Restoring Forests, Improving Quality of Life","Haiti, biodiversity, environment, species, conservation, extinction, tropical, evolution, ecology",http://benefunder.org/causes/97/blair-hedges
Sarah,Bergbreiter,University of Maryland College Park Campus,Robotics,Ant-sized Robots with Big Applications,"robot, robotics, robots, microrobots, soft robots, locomotion, autonomy, microsystems, medical robotics, microfabrication, materials, sensing, actuation, biomechanics, energy, motors, assembly, networked robots, MEMS",http://benefunder.org/causes/181/sarah-bergbreiter
Thomas,Bewley,"University of California, San Diego",Robotics,Coordinating Robots for Environmental Sensing and Fun,"robotics, remote sensing, plume, pollution, toys, education, girls, balance, weather, forecasting, mechanics",http://benefunder.org/causes/494/thomas-bewley
Noah,Cowan,Johns Hopkins University,Robotics,Building Biologically Inspired Robots,"motor control, robotics, neuroscience, control therapy, locomotion, brain, health, Robotics",http://benefunder.org/causes/103/noah-cowan
Eric,D'Asaro,University of Washington,Robotics,Robotics Change Oceanographic Exploration,"Ocean,  Robots, Hurricanes, storms, arctic, ice, climate, India, Ocean,  Monsoon, Storms, ",http://benefunder.org/causes/381/eric-dasaro
Peter U. ,Clark,Oregon State University,Resource Management,How Ice Sheets Influence Global Climate Change and Sea Level Rise,,http://benefunder.org/peter-u-clark
